flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival
58,PG0402,2017-10-31 16:50:27,2017-10-31 21:50:27,DME,LED,Scheduled,321,2017-10-31 17:13:27,2017-10-31 22:13:27
59,PG0402,2017-09-24 17:24:16,2017-09-24 23:24:16,DME,LED,Arrived,321,2017-09-24 17:27:16,2017-09-24 23:27:16
60,PG0402,2017-01-13 23:36:41,2017-01-14 04:36:41,DME,LED,Arrived,321,2017-01-13 23:08:41,2017-01-14 04:08:41
61,PG0403,2017-12-15 19:30:43,2017-12-15 23:30:43,DME,LED,Arrived,321,2017-12-15 19:21:43,2017-12-15 23:21:43
62,PG0404,2017-02-11 06:14:01,2017-02-11 07:14:01,DME,LED,Arrived,321,2017-02-11 06:27:01,2017-02-11 07:27:01
63,PG0402,2017-05-22 12:15:39,2017-05-22 15:15:39,DME,LED,Scheduled,321,2017-05-22 11:58:39,2017-05-22 14:58:39
64,PG0403,2017-01-15 13:53:30,2017-01-15 16:53:30,DME,LED,Scheduled,321,2017-01-15 14:03:30,2017-01-15 17:03:30
65,PG0405,2017-02-10 06:08:34,2017-02-10 11:08:34,DME,LED,Scheduled,321,2017-02-10 06:38:34,2017-02-10 11:38:34
66,PG0404,2017-05-11 13:07:37,2017-05-11 14:07:37,DME,LED,Scheduled,321,2017-05-11 12:44:37,2017-05-11 13:44:37
67,PG0404,2017-05-10 00:01:47,2017-05-10 03:01:47,DME,LED,Arrived,321,2017-05-09 23:37:47,2017-05-10 02:37:47
68,PG0403,2017-11-01 12:36:54,2017-11-01 17:36:54,DME,LED,Scheduled,321,2017-11-01 12:54:54,2017-11-01 17:54:54
69,PG0402,2017-11-04 11:48:13,2017-11-04 15:48:13,DME,LED,Scheduled,321,2017-11-04 11:31:13,2017-11-04 15:31:13
70,PG0404,2017-12-27 17:55:37,2017-12-27 19:55:37,DME,LED,Scheduled,321,2017-12-27 18:21:37,2017-12-27 20:21:37
71,PG0405,2017-05-25 13:30:40,2017-05-25 17:30:40,DME,LED,Scheduled,321,2017-05-25 13:11:40,2017-05-25 17:11:40
72,PG0402,2017-12-31 02:57:31,2017-12-31 05:57:31,DME,LED,Arrived,321,2017-12-31 02:36:31,2017-12-31 05:36:31
73,PG0403,2017-05-15 02:21:27,2017-05-15 05:21:27,DME,LED,Arrived,321,2017-05-15 02:03:27,2017-05-15 05:03:27
74,PG0404,2017-08-19 11:20:40,2017-08-19 12:20:40,DME,LED,Arrived,321,2017-08-19 11:04:40,2017-08-19 12:04:40
75,PG0405,2017-01-08 16:33:16,2017-01-08 19:33:16,DME,LED,Arrived,321,2017-01-08 17:03:16,2017-01-08 20:03:16
76,PG0405,2017-09-19 16:53:16,2017-09-19 21:53:16,DME,LED,Scheduled,321,2017-09-19 16:41:16,2017-09-19 21:41:16
77,PG0402,2017-11-17 08:41:02,2017-11-17 13:41:02,DME,LED,Scheduled,321,2017-11-17 08:47:02,2017-11-17 13:47:02
78,PG0402,2017-11-04 03:20:00,2017-11-04 07:20:00,DME,LED,Scheduled,321,2017-11-04 03:30:00,2017-11-04 07:30:00
79,PG0403,2017-04-02 13:36:44,2017-04-02 16:36:44,DME,LED,Scheduled,321,2017-04-02 13:25:44,2017-04-02 16:25:44
80,PG0404,2017-07-29 23:29:26,2017-07-30 04:29:26,DME,LED,Scheduled,321,2017-07-29 23:56:26,2017-07-30 04:56:26
81,PG0405,2017-11-28 01:48:57,2017-11-28 07:48:57,DME,LED,Scheduled,321,2017-11-28 01:26:57,2017-11-28 07:26:57
82,PG0402,2017-05-25 14:48:55,2017-05-25 20:48:55,DME,LED,Arrived,321,2017-05-25 14:29:55,2017-05-25 20:29:55
83,PG0402,2017-03-24 16:18:55,2017-03-24 17:18:55,DME,LED,Arrived,321,2017-03-24 16:17:55,2017-03-24 17:17:55
84,PG0403,2017-06-26 19:23:49,2017-06-27 00:23:49,DME,LED,Arrived,321,2017-06-26 19:23:49,2017-06-27 00:23:49
85,PG0404,2017-05-26 10:13:03,2017-05-26 12:13:03,DME,LED,Arrived,321,2017-05-26 10:41:03,2017-05-26 12:41:03
86,PG0405,2017-09-15 13:41:56,2017-09-15 16:41:56,DME,LED,Arrived,321,2017-09-15 13:55:56,2017-09-15 16:55:56
87,PG0405,2017-06-26 15:46:07,2017-06-26 21:46:07,DME,LED,Arrived,321,2017-06-26 16:09:07,2017-06-26 22:09:07
88,PG0404,2017-11-23 17:00:50,2017-11-23 23:00:50,DME,LED,Arrived,321,2017-11-23 17:02:50,2017-11-23 23:02:50
89,PG0403,2017-02-01 01:20:14,2017-02-01 03:20:14,DME,LED,Arrived,321,2017-02-01 01:20:14,2017-02-01 03:20:14
90,PG0402,2017-11-08 22:37:35,2017-11-09 00:37:35,DME,LED,Arrived,321,2017-11-08 22:57:35,2017-11-09 00:57:35
91,PG0405,2017-07-21 22:35:18,2017-07-22 00:35:18,DME,LED,Arrived,321,2017-07-21 22:32:18,2017-07-22 00:32:18
92,PG0404,2017-10-24 03:48:01,2017-10-24 04:48:01,DME,LED,Arrived,321,2017-10-24 03:29:01,2017-10-24 04:29:01
93,PG0403,2017-09-15 22:09:14,2017-09-16 04:09:14,DME,LED,Arrived,321,2017-09-15 21:57:14,2017-09-16 03:57:14
94,PG0402,2017-02-17 02:39:42,2017-02-17 08:39:42,DME,LED,Scheduled,321,2017-02-17 02:09:42,2017-02-17 08:09:42
95,PG0403,2017-03-13 10:59:27,2017-03-13 11:59:27,DME,LED,Scheduled,321,2017-03-13 11:03:27,2017-03-13 12:03:27
96,PG0402,2017-06-13 19:18:35,2017-06-13 21:18:35,DME,LED,Arrived,321,2017-06-13 19:45:35,2017-06-13 21:45:35
97,PG0404,2017-04-25 02:43:58,2017-04-25 06:43:58,DME,LED,Scheduled,321,2017-04-25 02:42:58,2017-04-25 06:42:58
98,PG0405,2017-01-20 04:53:01,2017-01-20 06:53:01,DME,LED,Scheduled,321,2017-01-20 04:33:01,2017-01-20 06:33:01
99,PG0403,2017-02-20 21:05:38,2017-02-20 22:05:38,DME,LED,Scheduled,321,2017-02-20 20:40:38,2017-02-20 21:40:38
100,PG0402,2017-10-11 11:10:27,2017-10-11 16:10:27,DME,LED,Scheduled,321,2017-10-11 11:05:27,2017-10-11 16:05:27
101,PG0405,2017-04-13 03:41:20,2017-04-13 07:41:20,DME,LED,Scheduled,321,2017-04-13 04:00:20,2017-04-13 08:00:20
102,PG0404,2017-03-10 02:41:39,2017-03-10 03:41:39,DME,LED,Scheduled,321,2017-03-10 03:01:39,2017-03-10 04:01:39
103,PG0403,2017-01-19 14:27:42,2017-01-19 19:27:42,DME,LED,Scheduled,321,2017-01-19 14:02:42,2017-01-19 19:02:42
104,PG0402,2017-11-25 06:10:10,2017-11-25 12:10:10,DME,LED,Scheduled,321,2017-11-25 06:01:10,2017-11-25 12:01:10
105,PG0403,2017-10-15 03:28:38,2017-10-15 06:28:38,DME,LED,Scheduled,321,2017-10-15 03:26:38,2017-10-15 06:26:38
106,PG0402,2017-04-12 02:21:04,2017-04-12 06:21:04,DME,LED,Arrived,321,2017-04-12 02:09:04,2017-04-12 06:09:04
107,PG0403,2017-03-24 20:24:02,2017-03-24 22:24:02,DME,LED,Arrived,321,2017-03-24 20:16:02,2017-03-24 22:16:02
108,PG0404,2017-04-16 03:14:08,2017-04-16 04:14:08,DME,LED,Arrived,321,2017-04-16 02:48:08,2017-04-16 03:48:08
109,PG0405,2017-02-10 02:10:42,2017-02-10 07:10:42,DME,LED,Arrived,321,2017-02-10 01:40:42,2017-02-10 06:40:42
110,PG0403,2017-11-19 16:40:40,2017-11-19 20:40:40,DME,LED,Arrived,321,2017-11-19 16:57:40,2017-11-19 20:57:40
111,PG0404,2017-10-24 02:14:00,2017-10-24 06:14:00,DME,LED,Scheduled,321,2017-10-24 01:50:00,2017-10-24 05:50:00
112,PG0405,2017-05-30 18:34:41,2017-05-30 22:34:41,DME,LED,Scheduled,321,2017-05-30 18:51:41,2017-05-30 22:51:41
113,PG0404,2017-06-25 15:06:10,2017-06-25 18:06:10,DME,LED,Arrived,321,2017-06-25 14:52:10,2017-06-25 17:52:10
114,PG0405,2017-06-11 04:31:19,2017-06-11 07:31:19,DME,LED,Arrived,321,2017-06-11 04:58:19,2017-06-11 07:58:19
115,PG0402,2017-11-11 19:47:11,2017-11-11 20:47:11,DME,LED,Scheduled,321,2017-11-11 19:42:11,2017-11-11 20:42:11
116,PG0403,2017-04-20 13:54:05,2017-04-20 14:54:05,DME,LED,Scheduled,321,2017-04-20 13:29:05,2017-04-20 14:29:05
117,PG0405,2017-03-18 00:14:20,2017-03-18 06:14:20,DME,LED,Scheduled,321,2017-03-18 00:00:20,2017-03-18 06:00:20
118,PG0404,2017-01-07 02:46:25,2017-01-07 03:46:25,DME,LED,Scheduled,321,2017-01-07 03:05:25,2017-01-07 04:05:25
119,PG0404,2017-02-24 15:28:53,2017-02-24 16:28:53,DME,LED,Scheduled,321,2017-02-24 15:46:53,2017-02-24 16:46:53
120,PG0404,2017-12-17 22:38:30,2017-12-18 03:38:30,DME,LED,Scheduled,321,2017-12-17 22:13:30,2017-12-18 03:13:30
121,PG0405,2017-12-12 00:11:42,2017-12-12 05:11:42,DME,LED,Scheduled,321,2017-12-12 00:35:42,2017-12-12 05:35:42
122,PG0405,2017-07-18 10:55:37,2017-07-18 16:55:37,DME,LED,Scheduled,321,2017-07-18 10:43:37,2017-07-18 16:43:37
123,PG0402,2017-07-08 16:03:00,2017-07-08 17:03:00,DME,LED,Arrived,321,2017-07-08 16:13:00,2017-07-08 17:13:00
124,PG0403,2017-10-28 09:25:39,2017-10-28 10:25:39,DME,LED,Arrived,321,2017-10-28 09:27:39,2017-10-28 10:27:39
125,PG0404,2017-05-02 08:02:04,2017-05-02 13:02:04,DME,LED,Arrived,321,2017-05-02 08:26:04,2017-05-02 13:26:04
126,PG0405,2017-03-03 14:23:55,2017-03-03 17:23:55,DME,LED,Arrived,321,2017-03-03 14:05:55,2017-03-03 17:05:55
127,PG0403,2017-03-17 18:34:13,2017-03-17 23:34:13,DME,LED,Scheduled,321,2017-03-17 18:40:13,2017-03-17 23:40:13
128,PG0402,2017-06-16 21:43:19,2017-06-17 02:43:19,DME,LED,Scheduled,321,2017-06-16 21:35:19,2017-06-17 02:35:19
129,PG0405,2017-03-01 10:17:10,2017-03-01 16:17:10,DME,LED,Arrived,321,2017-03-01 10:11:10,2017-03-01 16:11:10
130,PG0404,2017-05-06 20:03:37,2017-05-06 23:03:37,DME,LED,Arrived,321,2017-05-06 20:25:37,2017-05-06 23:25:37
131,PG0403,2017-04-01 04:35:07,2017-04-01 09:35:07,DME,LED,Arrived,321,2017-04-01 04:05:07,2017-04-01 09:05:07
132,PG0402,2017-02-20 13:28:50,2017-02-20 14:28:50,DME,LED,Arrived,321,2017-02-20 13:30:50,2017-02-20 14:30:50
133,PG0405,2017-08-11 16:31:46,2017-08-11 22:31:46,DME,LED,Scheduled,321,2017-08-11 16:21:46,2017-08-11 22:21:46
134,PG0404,2017-11-08 14:34:36,2017-11-08 15:34:36,DME,LED,Scheduled,321,2017-11-08 14:27:36,2017-11-08 15:27:36
135,PG0403,2017-11-16 14:13:47,2017-11-16 18:13:47,DME,LED,Scheduled,321,2017-11-16 14:37:47,2017-11-16 18:37:47
136,PG0402,2017-06-06 19:21:10,2017-06-06 22:21:10,DME,LED,Scheduled,321,2017-06-06 19:34:10,2017-06-06 22:34:10
137,PG0404,2017-01-12 14:05:26,2017-01-12 20:05:26,DME,LED,Scheduled,321,2017-01-12 13:42:26,2017-01-12 19:42:26
138,PG0405,2017-08-04 18:07:13,2017-08-05 00:07:13,DME,LED,Scheduled,321,2017-08-04 18:35:13,2017-08-05 00:35:13
139,PG0402,2017-03-01 14:35:39,2017-03-01 17:35:39,DME,LED,Arrived,321,2017-03-01 14:51:39,2017-03-01 17:51:39
140,PG0403,2017-08-30 21:29:41,2017-08-31 00:29:41,DME,LED,Arrived,321,2017-08-30 21:50:41,2017-08-31 00:50:41
141,PG0404,2017-10-25 18:26:02,2017-10-25 22:26:02,DME,LED,Arrived,321,2017-10-25 17:58:02,2017-10-25 21:58:02
142,PG0405,2017-12-03 00:57:20,2017-12-03 02:57:20,DME,LED,Arrived,321,2017-12-03 00:39:20,2017-12-03 02:39:20
143,PG0404,2017-01-07 01:55:29,2017-01-07 07:55:29,DME,LED,Scheduled,321,2017-01-07 01:36:29,2017-01-07 07:36:29
144,PG0403,2017-03-26 11:58:28,2017-03-26 15:58:28,DME,LED,Scheduled,321,2017-03-26 11:57:28,2017-03-26 15:57:28
145,PG0402,2017-07-15 07:45:54,2017-07-15 12:45:54,DME,LED,Scheduled,321,2017-07-15 07:41:54,2017-07-15 12:41:54
146,PG0403,2017-10-08 15:36:34,2017-10-08 16:36:34,DME,LED,Scheduled,321,2017-10-08 15:34:34,2017-10-08 16:34:34
147,PG0402,2017-11-27 20:31:38,2017-11-28 01:31:38,DME,LED,Scheduled,321,2017-11-27 20:47:38,2017-11-28 01:47:38
148,PG0403,2017-04-26 08:38:42,2017-04-26 11:38:42,DME,LED,Scheduled,321,2017-04-26 08:39:42,2017-04-26 11:39:42
149,PG0404,2017-12-28 16:49:30,2017-12-28 17:49:30,DME,LED,Scheduled,321,2017-12-28 17:13:30,2017-12-28 18:13:30
150,PG0405,2017-12-07 11:31:48,2017-12-07 12:31:48,DME,LED,Scheduled,321,2017-12-07 11:49:48,2017-12-07 12:49:48
151,PG0405,2017-07-16 07:02:45,2017-07-16 08:02:45,DME,LED,Scheduled,321,2017-07-16 06:40:45,2017-07-16 07:40:45
152,PG0405,2017-12-23 08:54:59,2017-12-23 13:54:59,DME,LED,Arrived,321,2017-12-23 08:41:59,2017-12-23 13:41:59
153,PG0404,2017-01-16 01:30:21,2017-01-16 03:30:21,DME,LED,Arrived,321,2017-01-16 01:16:21,2017-01-16 03:16:21
154,PG0403,2017-04-17 12:43:41,2017-04-17 14:43:41,DME,LED,Arrived,321,2017-04-17 13:03:41,2017-04-17 15:03:41
155,PG0402,2017-10-14 04:53:44,2017-10-14 09:53:44,DME,LED,Arrived,321,2017-10-14 04:37:44,2017-10-14 09:37:44
156,PG0404,2017-10-17 18:15:07,2017-10-17 19:15:07,DME,LED,Scheduled,321,2017-10-17 17:56:07,2017-10-17 18:56:07
157,PG0402,2017-11-28 01:00:26,2017-11-28 04:00:26,DME,LED,Arrived,321,2017-11-28 01:23:26,2017-11-28 04:23:26
158,PG0403,2017-10-29 17:54:10,2017-10-29 18:54:10,DME,LED,Arrived,321,2017-10-29 17:31:10,2017-10-29 18:31:10
159,PG0404,2017-11-26 09:03:02,2017-11-26 11:03:02,DME,LED,Arrived,321,2017-11-26 09:00:02,2017-11-26 11:00:02
160,PG0405,2017-01-10 16:34:43,2017-01-10 18:34:43,DME,LED,Arrived,321,2017-01-10 16:43:43,2017-01-10 18:43:43
161,PG0403,2017-05-22 07:16:08,2017-05-22 12:16:08,DME,LED,Scheduled,321,2017-05-22 06:49:08,2017-05-22 11:49:08
162,PG0405,2017-05-05 14:13:11,2017-05-05 17:13:11,DME,LED,Scheduled,321,2017-05-05 14:29:11,2017-05-05 17:29:11
163,PG0402,2017-09-29 05:44:43,2017-09-29 08:44:43,DME,LED,Scheduled,321,2017-09-29 05:59:43,2017-09-29 08:59:43
