first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,number_of_reviews,id,reviewer_id,listing_id
17-09-2015,30-09-2015,94,10,10,10,10,10,10,1.91,7,49706992,17784822,6888107
29-06-2015,28-12-2015,97,10,10,10,10,10,10,2.05,13,50188069,41940291,6888107
07-06-2015,23-12-2015,97,10,10,10,10,10,10,6.23,44,52346550,23372725,6888107
13-07-2014,25-10-2015,96,10,10,10,10,10,10,3.11,56,53347989,45284991,6888107
04-10-2015,23-12-2015,95,10,10,9,10,10,9,3.55,11,40353174,32694387,7075357
28-07-2014,28-12-2015,98,10,10,10,10,10,10,2.22,39,41790628,3119483,7075357
10-07-2015,28-09-2015,90,9,9,10,10,10,9,1.68,10,23178201,23550301,4494948
22-07-2014,30-12-2015,90,10,10,9,9,10,9,0.34,6,23916185,8190182,4494948
25-05-2014,29-11-2015,85,8,8,10,10,10,10,0.2,4,24854866,8291197,4494948
16-08-2014,18-12-2015,96,10,10,10,10,10,10,4.67,79,25210780,20037108,4494948
29-03-2015,14-12-2015,96,10,10,10,10,10,10,5.32,50,25571953,22335644,4494948
13-08-2015,28-12-2015,89,10,9,10,10,10,9,5.79,28,26009294,10680187,4494948
09-08-2013,26-09-2015,100,10,10,10,10,9,10,0.68,20,26312330,16580948,4494948
09-03-2014,01-12-2015,92,10,9,10,10,9,9,2.56,57,26529949,23082563,4494948
25-10-2014,20-12-2015,94,10,9,10,10,9,9,2.61,38,26784515,26038811,4494948
15-03-2015,13-12-2015,95,10,10,10,10,10,9,7.2,71,27318359,17466858,4494948
20-04-2014,28-11-2015,99,10,10,10,10,10,10,0.82,17,28161985,26027495,4494948
02-01-2015,02-01-2016,98,10,10,10,10,10,10,1.06,13,28695629,22890359,4494948
29-11-2014,26-05-2015,93,9,7,9,10,9,8,0.22,3,29366732,10827446,4494948
01-03-2015,01-01-2016,98,10,10,10,10,10,10,1.84,19,30067225,24674650,4494948
12-02-2015,02-01-2016,99,10,10,10,10,10,10,1.65,18,30921949,529153,4494948
26-05-2014,11-08-2015,71,8,6,9,9,9,7,0.61,12,31870328,18425414,4494948
17-08-2015,21-09-2015,95,10,10,9,10,10,10,0.85,4,32149850,1600273,4494948
13-11-2015,30-12-2015,97,10,10,10,10,10,10,3.96,7,32992377,26394059,4494948
05-05-2015,12-10-2015,97,10,10,10,10,9,10,2.82,23,33564536,25568993,4494948
07-12-2015,14-12-2015,90,10,8,10,10,10,9,2,2,35071274,28370219,4494948
,,,,,,,,,,0,35446299,18938730,4494948
23-11-2014,21-12-2015,95,10,10,9,10,10,9,2.87,39,36021396,5306140,4494948
25-08-2014,02-01-2016,96,10,10,10,10,10,10,3.86,64,37466201,33025409,4494948
11-08-2015,07-09-2015,80,10,8,9,9,9,9,0.82,4,37974824,33084027,4494948
,,,,,,,,,,0,39002586,6618190,4494948
20-06-2015,04-12-2015,90,10,9,10,10,10,10,1.21,8,39915884,22993542,4494948
02-02-2015,26-10-2015,97,10,10,10,10,10,10,1.25,14,41744421,32798041,4494948
27-09-2015,27-09-2015,100,8,8,10,10,10,8,0.3,1,43743736,13017777,4494948
,,,,,,,,,,0,45052173,13598687,4494948
19-05-2014,02-12-2015,99,10,10,10,10,9,10,4.28,85,48378739,26366177,4494948
,,,,,,,,,,0,49692970,19514204,4494948
23-04-2011,30-12-2015,97,10,10,10,10,10,10,2.18,125,50976118,948664,4494948
30-01-2014,21-12-2015,91,9,9,10,10,9,9,5.15,121,57923833,50291659,4494948
09-11-2011,29-12-2015,97,10,10,10,10,9,10,2.59,131,14214395,4134112,3242605
08-08-2014,02-01-2016,98,10,10,10,10,10,10,2.85,49,14318943,5488246,3242605
20-11-2015,01-12-2015,100,10,10,10,10,8,8,1.3,2,14997013,19457,3242605
23-06-2015,29-11-2015,95,10,10,10,10,10,10,4.29,28,15245290,6592943,3242605
23-02-2014,20-12-2015,92,9,9,10,10,10,9,4.89,111,15292756,16911097,3242605
13-02-2015,18-12-2015,97,10,10,10,10,10,10,4.51,49,15410505,3836744,3242605
03-05-2015,05-10-2015,96,10,10,10,10,10,10,3.4,28,15543736,612554,3242605
,,,,,,,,,,0,15776743,16951543,3242605
11-12-2015,27-12-2015,100,10,10,10,10,9,9,3,3,15879028,4350777,3242605
,,,,,,,,,,0,16106354,11630654,3242605
12-06-2014,02-12-2014,89,8,9,9,9,9,9,0.47,9,16259751,2947094,3242605
28-10-2015,28-12-2015,97,10,10,10,10,10,10,5.22,12,16332328,17015784,3242605
12-03-2015,23-12-2015,95,10,10,10,10,10,9,5.02,50,16485022,7590327,3242605
21-09-2015,01-12-2015,100,10,10,9,10,10,10,0.85,3,16669505,10935547,3242605
06-10-2014,06-10-2015,98,10,10,10,10,10,10,1.58,24,16795648,2044688,3242605
19-06-2015,18-12-2015,95,10,10,10,10,9,10,12.15,81,16993294,17323287,3242605
,,,,,,,,,,0,17352152,14612228,3242605
01-06-2014,30-07-2015,85,8,7,9,9,9,8,0.98,19,17711000,12037268,3242605
29-06-2015,28-07-2015,100,10,10,10,10,9,9,0.95,6,17769218,15725848,3242605
15-01-2014,15-12-2015,99,10,10,10,10,10,10,4.79,115,18529618,4961606,3242605
31-03-2013,01-12-2015,99,10,10,10,10,10,10,2.14,72,18878027,3586528,3242605
25-06-2012,14-09-2015,84,8,9,10,10,9,8,0.28,12,18963971,20364893,3242605
09-09-2015,09-09-2015,100,10,10,10,10,10,10,0.25,1,19126379,17569762,3242605
30-03-2015,01-12-2015,95,10,9,10,10,10,10,3.31,31,19302932,1312047,3242605
19-02-2013,19-12-2015,97,10,10,10,10,10,10,3.57,125,19417660,7364821,3242605
20-07-2015,20-09-2015,97,9,10,10,10,10,10,1.24,7,20005887,16544292,3242605
24-12-2015,03-01-2016,100,10,10,10,10,10,10,2,2,20289302,19811857,3242605
,,,,,,,,,,0,20516286,7155377,3242605
16-02-2014,28-12-2015,97,10,10,10,10,10,9,2.7,62,20626108,13396735,3242605
,,,,,,,,,,0,20928815,20931989,3242605
03-03-2014,29-12-2015,98,10,10,10,10,10,10,3.3,74,21642335,2186884,3242605
01-12-2015,01-12-2015,100,10,10,10,10,10,10,0.86,1,22263898,22731095,3242605
14-06-2014,26-12-2015,95,10,9,10,10,10,9,5.63,107,23521278,17242843,3242605
11-03-2013,20-10-2015,96,10,10,10,10,9,10,0.29,10,23715676,6981697,3242605
14-08-2014,23-12-2015,96,10,10,10,10,10,10,9.14,155,24023772,9454359,3242605
,,,,,,,,,,0,24109775,2879471,3242605
21-06-2015,01-11-2015,100,10,10,10,10,10,10,2.27,15,24296830,6904515,3242605
31-08-2014,27-08-2015,96,10,10,10,10,10,9,1.04,17,24537701,23660822,3242605
09-06-2015,18-10-2015,92,9,9,10,10,9,9,1.86,13,24964532,22002597,3242605
03-08-2015,21-12-2015,97,10,10,10,10,10,10,2.52,13,25269155,23772513,3242605
18-05-2015,27-07-2015,100,10,10,10,10,10,10,0.26,2,25506204,25098738,3242605
12-12-2015,12-12-2015,,,,,,,,1,1,26320597,25317029,3242605
11-11-2012,05-12-2015,98,10,10,10,10,10,10,2.56,98,26561801,7309494,3242605
14-12-2015,25-12-2015,100,10,10,10,10,9,10,2,2,26891390,27123828,3242605
16-08-2015,29-12-2015,90,10,9,9,10,9,9,5.92,28,27022058,27678236,3242605
27-07-2015,27-11-2015,91,10,9,10,10,9,9,3.15,17,27478773,28179578,3242605
10-07-2013,20-12-2015,97,10,10,10,9,10,10,4.59,139,27646117,24008806,3242605
22-09-2014,14-09-2015,100,10,10,10,10,10,9,0.32,5,28103528,8778001,3242605
07-10-2015,22-12-2015,96,10,9,10,10,9,10,5,15,28405713,27928896,3242605
03-04-2013,03-04-2013,90,,10,10,10,8,10,0.03,1,28585618,28247908,3242605
,,,,,,,,,,0,28640850,30026617,3242605
02-09-2014,30-08-2015,88,10,9,9,10,10,10,0.31,5,28702414,26380820,3242605
,,,,,,,,,,0,28969269,30021078,3242605
09-08-2015,28-12-2015,93,9,9,10,9,10,10,0.6,3,29350568,30176404,3242605
12-07-2015,21-11-2015,94,10,10,10,10,10,9,2.88,17,29651684,2686038,3242605
09-03-2015,15-12-2015,96,10,10,10,10,10,9,3.08,31,30010022,1196308,3242605
16-08-2015,28-12-2015,92,9,9,10,10,10,9,7.18,34,30165180,17736983,3242605
10-11-2015,10-11-2015,100,10,10,10,10,10,10,0.54,1,30428451,30694717,3242605
06-09-2013,05-12-2015,100,10,10,10,10,9,10,0.35,10,31467132,13485744,3242605
31-12-2013,28-09-2015,98,10,9,10,10,9,9,0.61,15,31611571,32226665,3242605
15-08-2015,15-08-2015,100,10,10,10,10,10,10,0.21,1,31963810,3918114,3242605
21-09-2015,20-12-2015,97,10,10,10,10,10,10,1.98,7,32776192,32568947,3242605
31-12-2015,31-12-2015,100,10,10,10,10,10,10,1,1,32915481,21334176,3242605
19-05-2014,07-09-2015,82,9,8,9,9,9,8,1.41,28,33694360,32132569,3242605
23-03-2015,03-10-2015,89,9,9,9,9,9,9,0.73,7,34070064,20084321,3242605
01-03-2015,18-11-2015,97,10,10,10,10,9,10,3.48,36,34706890,31539716,3242605
,,,,,,,,,,0,35108283,33052980,3242605
01-08-2014,17-08-2015,92,10,9,9,10,10,9,0.92,16,35410237,34616579,3242605
09-05-2015,19-10-2015,90,9,10,10,10,10,9,0.5,4,36009002,30841536,3242605
14-05-2015,25-10-2015,98,10,10,10,10,10,10,2.92,23,36282100,32520900,3242605
08-03-2015,08-03-2015,100,10,10,10,10,10,8,0.1,1,36688628,30558459,3242605
02-06-2013,11-12-2015,97,10,10,10,10,10,10,1.93,61,36988999,35816512,3242605
26-04-2015,28-12-2015,96,10,10,10,10,9,10,5.91,50,37289372,13308404,3242605
13-01-2014,17-11-2015,97,10,9,10,10,10,10,2.29,55,37659160,29658656,3242605
15-11-2015,15-11-2015,100,10,10,10,10,10,10,0.59,1,38134738,17844379,3242605
10-08-2015,10-08-2015,100,10,10,10,10,10,10,0.2,1,38592003,24850167,3242605
23-08-2015,01-01-2016,100,10,10,10,10,10,9,2.67,12,38702556,31166419,3242605
01-12-2015,12-12-2015,100,,10,,10,,,1.71,2,39400651,7278160,3242605
08-03-2015,11-12-2015,98,10,10,10,10,10,10,2.57,26,41271041,10134755,3242605
,,,,,,,,,,0,41362197,26177392,3242605
20-12-2015,20-12-2015,100,10,10,10,10,10,10,1,1,41479682,5140611,3242605
17-03-2014,23-11-2015,96,10,10,10,10,9,10,2.41,53,41741734,4719034,3242605
25-09-2015,29-12-2015,100,10,10,10,10,10,10,3.82,13,42143331,29545825,3242605
,,,,,,,,,,0,42676333,4462648,3242605
29-06-2015,08-09-2015,95,10,9,10,10,10,9,0.63,4,42841336,29251713,3242605
,,,,,,,,,,0,43945826,37156775,3242605
14-06-2015,18-12-2015,97,10,10,10,10,9,10,4.68,32,44782376,37809514,3242605
20-07-2011,10-10-2015,93,9,9,10,10,10,9,0.98,53,44910683,1807572,3242605
13-10-2014,29-11-2015,100,10,10,10,10,10,10,0.53,8,45370814,32001075,3242605
13-10-2015,28-11-2015,100,10,10,9,10,10,9,0.71,2,45777225,33399349,3242605
18-10-2015,28-12-2015,100,10,10,10,10,10,10,2.66,7,47029968,25455914,3242605
08-10-2015,08-10-2015,80,10,10,10,10,8,6,0.34,1,48108663,42703020,3242605
27-04-2015,17-12-2015,95,10,10,10,10,9,9,5.81,49,48531047,8479447,3242605
10-08-2014,13-12-2015,98,10,10,10,10,9,10,3.45,59,49605551,35918221,3242605
,,,,,,,,,,0,50758328,2705051,3242605
,,,,,,,,,,0,51025820,25716162,3242605
22-07-2014,25-09-2015,97,10,10,10,10,10,10,1.02,18,51360809,45781526,3242605
18-02-2014,19-10-2015,99,10,10,10,10,10,10,2.76,63,51712145,21662968,3242605
29-03-2015,03-01-2016,93,10,10,9,10,9,9,1.7,16,51944998,5468775,3242605
26-08-2013,08-08-2015,95,9,10,10,10,10,9,0.14,4,52958439,37171719,3242605
13-10-2015,01-12-2015,100,10,10,10,10,10,10,1.07,3,53792813,48431557,3242605
,,,,,,,,,,0,53870907,10337728,3242605
27-07-2015,31-08-2015,100,10,9,10,10,10,10,0.37,2,53888304,45463427,3242605
12-04-2015,30-08-2015,99,10,10,10,10,10,10,1.57,14,54007424,3120947,3242605
13-07-2015,28-11-2015,96,10,10,10,10,10,10,1.53,9,54304389,43197902,3242605
22-07-2015,02-11-2015,98,10,10,10,10,10,10,1.98,11,54368329,38189081,3242605
21-06-2015,06-10-2015,91,9,9,10,10,10,9,1.67,11,54698987,11496787,3242605
01-09-2015,01-09-2015,100,10,10,10,10,10,10,0.24,1,54883059,46696247,3242605
09-11-2015,09-11-2015,100,10,10,10,10,10,10,0.53,1,55215679,24842670,3242605
14-07-2014,02-01-2016,94,10,9,10,10,10,9,6.39,115,45307373,16297562,7763878
23-11-2015,28-12-2015,87,9,9,9,10,8,9,4.19,6,50708243,45723115,8536441
13-06-2015,25-09-2015,92,10,10,10,10,10,9,1.46,10,53157551,26596137,8536441
29-08-2015,21-12-2015,96,10,10,10,10,9,10,4.88,21,53538706,5137520,8536441
10-08-2015,01-11-2015,96,10,10,10,10,10,10,1.01,5,54161660,5871657,8536441
21-09-2015,23-12-2015,92,9,9,10,10,9,9,1.42,5,54897993,33686342,8536441
17-05-2015,26-12-2015,95,10,10,10,10,9,10,6.82,53,56072508,32226689,8536441
07-01-2014,30-12-2015,99,10,10,10,10,10,10,4.37,106,41036102,33863547,7550234
06-03-2012,01-12-2015,100,10,9,10,10,10,10,0.51,24,41511833,5974848,7550234
,,,,,,,,,,0,42337521,14638385,7550234
01-01-2015,29-09-2015,96,9,10,9,9,10,9,0.89,11,43012013,20396659,7550234
07-03-2015,07-03-2015,,,,,,,,0.1,1,43334695,41484755,7550234
04-09-2013,06-12-2015,95,10,10,10,10,10,9,2.78,79,45358350,4670854,7550234
02-09-2014,29-11-2015,97,10,10,10,10,10,10,3.18,52,45618869,39293404,7550234
29-11-2015,29-11-2015,100,10,10,10,10,10,10,0.81,1,45910994,42412901,7550234
25-03-2012,23-02-2014,100,10,10,10,10,10,10,0.28,13,46215055,17522732,7550234
09-06-2015,06-10-2015,87,8,9,9,9,10,8,2.86,20,47535547,40619236,7550234
08-12-2014,02-01-2016,99,10,10,10,10,10,10,2.29,30,48454063,11484882,7550234
06-07-2015,18-11-2015,97,9,10,10,10,10,9,2.3,14,48920440,4296281,7550234
01-11-2014,01-12-2015,96,10,10,10,10,10,10,1.88,27,49300785,45425020,7550234
21-09-2015,01-11-2015,84,10,8,9,8,9,9,1.42,5,49947935,41158892,7550234
26-05-2015,31-08-2015,96,10,10,10,10,10,10,0.67,5,51382818,43988043,7550234
23-03-2015,09-11-2015,97,10,10,10,10,10,10,2.92,28,52262373,46024757,7550234
13-03-2012,14-12-2015,96,10,10,10,10,10,10,2.09,97,53309985,8880284,7550234
21-05-2015,05-12-2015,96,10,10,10,10,10,10,1.97,15,54296859,48807026,7550234
22-06-2014,28-12-2014,100,10,10,9,10,10,10,0.16,3,54770065,2424191,7550234
29-11-2015,29-11-2015,100,10,10,10,10,10,10,0.81,1,55049147,45249334,7550234
24-05-2015,12-12-2015,97,10,10,10,10,10,10,5.71,43,55310632,3382541,7550234
23-05-2014,29-12-2015,97,10,10,10,10,9,10,3.6,71,56610985,22802848,7550234
16-09-2013,28-12-2015,96,10,10,10,10,10,10,0.32,9,56949077,47521443,7550234
23-09-2015,27-12-2015,93,10,10,10,10,10,10,0.87,3,22571700,2908159,2926776
09-09-2015,09-09-2015,80,6,10,4,6,10,8,0.25,1,22640222,70980,2926776
12-05-2015,07-09-2015,92,9,9,10,10,10,9,1.39,11,49739652,41188231,2926776
09-11-2015,09-11-2015,100,10,10,10,10,10,10,0.53,1,49963896,11477764,2926776
05-08-2014,17-11-2014,95,10,10,10,10,10,10,0.23,4,50598278,42173566,2926776
03-08-2014,23-11-2015,93,10,9,10,10,10,9,0.69,12,51504154,9772021,2926776
22-08-2015,22-08-2015,100,10,10,10,10,10,10,0.22,1,53527423,45902871,2926776
23-08-2012,30-10-2015,97,10,9,10,10,10,10,1.49,61,39234816,38382309,7327623
22-10-2013,01-01-2016,94,10,10,10,10,10,9,1.83,49,40010110,24247616,7327623
,,,,,,,,,,0,40519429,33872018,7327623
,,,,,,,,,,0,41652961,8618935,7327623
28-11-2015,18-12-2015,95,10,10,10,10,10,10,3.16,4,43408648,16067775,7327623
08-10-2015,22-11-2015,100,10,10,10,10,10,10,1.35,4,44206384,39828047,7327623
,,,,,,,,,,0,44790943,13099539,7327623
,,,,,,,,,,0,45489048,40158289,7327623
20-06-2011,28-11-2015,94,10,9,10,10,10,10,0.63,35,46160250,748405,7327623
14-06-2015,28-09-2015,96,10,10,10,10,10,9,1.46,10,46609947,43999,7327623
17-06-2015,10-08-2015,100,10,10,10,10,10,9,0.89,6,47726774,20439635,7327623
26-09-2014,15-04-2015,100,10,8,10,10,8,10,0.13,2,48935170,43902823,7327623
12-09-2014,31-12-2015,97,10,10,10,10,10,10,5.38,86,49803018,687888,7327623
,,,,,,,,,,0,50545851,21504625,7327623
17-06-2014,16-11-2015,92,9,10,10,10,10,9,0.9,17,55128910,18218325,7327623
